212	228	262	161	233	223	272	145	197	195
246	274	310	220	274	211	303	104	219	243
185	170	258	169	155	165	188	151	239	173
205	206	315	169	186	206	271	174	206	210
226	236	294	220	288	190	255	103	202	276
183	277	312	185	246	199	251	107	209	231
247	219	367	248	225	229	296	169	220	251
116	182	164	115	216	133	194	68	80	177
255	253	345	206	269	258	300	168	259	260
217	184	289	174	209	200	269	73	180	240
133018403373	49	199527605057	266036806698	66509201713	99763802538	58	33254600860	299291407531	166273004209
